County Code,3,10,15,16,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,39,40,41,43,44,45,46,47,48,51,52,53,54,56,57,58,59,60,61,62,63,64,67,68,69,70,71,72,73,74,75,76,78,82,84,85,86,88,89,90,93,94,95,96,97,100,105,107,108,109,110,111,112,113,114,115,117,118,120,122,123,124,125,126,127,128,129,130,131,133,136,Population
1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16538
1061,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26516
1069,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,383,186,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,11,11,,,,,,,,,,,,,,,,,104173
1071,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,116,,,11,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52049
1073,,41,,,,1399,,,,16,,,337,,11,,,,,,,,31,,,,78,,,23,,,,304,1990,1396,,,494,57,,332,,251,790,270,473,,467,,,,,,44,43,257,,,246,,22,,21,,,,43,33,,,45,,258,822,384,84,83,,247,,,177,17,32,15,,117,108,,,,,,659747
1077,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,335,220,,,,,,,,,70,22,,,,,,,,,,,11,,,10,,,,,,,,,,,,,,,24,12,,,,,,,,,,,,,,,,,,,92319
1079,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,33232
1081,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,144,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,15,,,,,,,,,,,,,,,,,158983
1083,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,96,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,92920
1089,,,,,,648,,,,,,,88,,,,,,,,,,,,,,,,,,,,11,161,959,717,,,116,,,49,,38,457,62,305,,65,,,,,,,,106,,,105,,,,21,,,,,,,,11,14,,340,101,26,25,,47,,,41,,45,11,11,12,11,,,,,,356312
